"agency_name","address","city","email","phone_number","website"
"Meiser Bauarbeiten GmbH & Co. KG","Kölner Str. 1","Rüsselsheim am Main","kontakt@meiser-bauarbeiten.de","06144 4 08 97 38","http://www.meiser-bauarbeiten.de"
"Rappel Bau GmbH","Römerstr. 18","Mötzing","info@rappel-bau.com","09480 93 87 70","http://www.rappel-bau.com"
"Reiner Schädler Bauunternehmung GmbH","Pappelweg 14, (Unterhausen)","Lichtenstein","info@schaedler-bau.de","07129 6 02 66","https://www.schaedler-bau.de"
"Richard Wacker GmbH, Bauuntern.","Brunnenstr. 28, (Biberach)","Heilbronn","info@wacker-bauunternehmung.de","07066 9 55 20","http://www.wacker-bauunternehmung.de"
"Schäfer & Geis GmbH","Siemensstr. 7, (Lengfurt)","Triefenstein","info@schaefer-geis.de","09395 87 82 57","https://www.schaefer-geis.de"
"Striebel Baugeschäft","Schillerstr. 19","Laichingen","info@striebel-bau.de","07333 30 71","https://striebel-bau.de/"
"Swissbauen GmbH Bauunternehmen","Obenhauptstr. 7, (Groß Borstel)","Hamburg","bau@swissbauen.de","0171 7 87 05 00","http://www.swissbauen.de"
"Wendt Grundbau GmbH","Wildmeisterdamm 253, (Buckow)","Berlin","info@wendt-grundbau.de","030 6 09 70 80","https://www.wendt-grundbau.de"
"WILHELM WEIDLER GmbH & Co. KG Bauunternehmung I Tiefbau I Straßenbau I Wasserbau I Erdbau","Haubersbronner Str. 74","Urbach","info@wilhelm-weidler.de","07181 9 87 00","http://www.wilhelm-weidler.de/"
"Zarges Bau GmbH","Friedrich-Engels-Allee 163, (Barmen)","Wuppertal","max.zarges@zarges-bau.de","0202 2 81 08-0","https://www.zarges-bau.de"
"Andreas Wittmann GmbH & Co. KG","Löffelholzstr. 8, (Südliche Außenstadt)","Nürnberg","info@wittmann-bau.de","0911 94 17 65","http://www.wittmann-bau.de"
"Helmut Kautschur Immobilien & Bauträger GmbH","Kerpener Str. 60","Kerpen","info@kautschur.de","02273 5 24 53","http://www.kautschur.de"
"HuT Oderbau GmbH","Münchehofer Weg 48","Müncheberg","info@hut-oderbau.de","033432 9 19 25","http://www.hut-oderbau.de"
"Kramke Baugesellschaft mbH","Konrad-Zuse-Ring 13, (Nauener Vorstadt)","Potsdam","info@kramke-baugruppe.de","0331 5 05 83 60","http://www.kramke-hallensysteme.de"
"Schleiff Bauflächentechnik GmbH & Co. KG","Brüsseler Allee 15","Erkelenz","info@schleiff.de","02431 96 41-0","http://www.schleiff.de"
"Step to Home oHG","In der Wüste 31, (Lützenkirchen)","Leverkusen","info@step-to-home.de","02171 3 62 62 48","http://www.step-to-home.de"
"ANES Bauausführungen Berlin GmbH","Adam-von-Trott-Str. 7, (Charlottenburg-Nord)","Berlin","info@anesbau.de","030 33 30 60","http://www.anesbau.de"
"Bauunternehmen Torsten Krause","An der Schimmings Höhe 1, (Berthelsdorf)","Neustadt","info@bau-krause.de","03596 50 21 03","http://www.bau-krause.de/"
"Völter Torsten","Odertal 4, (Stolzenhagen)","Wandlitz","voelter@t-online.de","033397 7 29 02","http://www.bauhandwerk-voelter.de"
"Buchheim Bernd Baubetrieb","Ludwig-Renn-Str. 31, (Marzahn)","Berlin","bebuchheim@aol.com","030 9 35 91 60","https://buchheim-baubetrieb-berlin.de"
"Editra-Bau GmbH","Ankogelweg 7, (Mariendorf)","Berlin","info@editra-bau-gmbh.de","030 7 96 20 85","http://www.editra-bau-gmbh.de"
"SWISSBAUEN GmbH","Friedrichstr. 95, (Mitte)","Berlin","bau@swissbauen.de","0171 7 87 05 00","http://www.swissbauen.de"
"Heinrich Strünker GmbH","Heinrich-Strünker-Str. 8, (Hand)","Bergisch Gladbach","info@struenker.de","02202 1 88 60","http://www.struenker.de"
"KEBOHRFOL Susanne Klame e.K.","Goepelstr. 90","Frankfurt (Oder)","info@klame-betonbearbeitung.de","0335 6 48 60","http://www.klame-betonbearbeitung.de"
"Aepler Bau GmbH & Co. KG","Oranienburger Str. 101, (Wittenau)","Berlin","info@aepler-bau.de","030 45 80 59 20","https://www.aepler-bau.com"
"Bauunternehmung Bernd Tichlers","","","bauunternehmung@tichlers.de","","http://www.tichlers.de"
"Pollems GmbH","Meeraner Str. 21, (Marzahn)","Berlin","info@pollems.de","030 9 81 09 70","https://www.pollems.de"
"Wiemer GmbH, Baugeschäft","Schraberg 20, (Barmen)","Wuppertal","info@bau-wiemer.de","0202 52 77 88","http://www.bau-wiemer.de"
"Bauunternehmen H & P","Altserkowitz 2","Radebeul","hoerl-bau@web.de","0351 8 38 92 21","http://www.Bau-Preis.de"
"Jens Dittrich Dachdeckermeister","Am Herrenteich 2","Hartmannsdorf","dachdeckerei-jdittrich@t-online.de","037602 62 86","https://dittrich-dach.de/"
"GS SCHENK GmbH","Siegelsdorfer Str. 55, (Burgfarrnbach)","Fürth","info@gs-schenk.de","0911 37 27 50","https://gs-schenk.de/"
"Johann Müller Baugeschäft GmbH","Untere Stadtgasse 49, (Almoshof)","Nürnberg","info@mueller-bg.de","0911 9 34 49 30","https://www.mueller-bg.de/"
"Hauswert GmbH","Hilgardstr. 8","Speyer","info@hauswert.de","06232 62 09 52","http://www.hauswert.de"
"Hubert Eberz Bau GmbH","Weidenhahner Str. 7","Freilingen","info@eberz-bau-gmbh.de","02666 7 30 33 01","http://www.eberz-bau-gmbh.de"
"Dacic ZD Bau GmbH","Rheinstr. 32","Hattingen","zijahd@web.de","02324 6 86 49 56","https://www.zd-bau.de"
"MG-Projekt Bau GmbH","Königstr. 164, (Nord)","Remscheid","info@mgprojektbau.de","0176 70 64 91 11",""
"Wimmer Bau GmbH","Eßbaum 6 A, (Eßbaum)","Samerberg","info@baugeschaeft-wimmer.de","08032 84 45","https://www.baugeschaeft-wimmer.de"
"Schweinsteiger Bau GmbH & Co. KG","Roseggerstr. 3","Rohrdorf","info@schweinsteiger-bau.de","08032 70 76 55","https://www.schweinsteiger-bau.de"
"Baugeschäft Matthias Staber Inh. Ulrich Staber","Simsseestr. 48","Frasdorf","staberbau@aol.com","08052 3 98","http://www.staberbau.de"
"FT Bauservice GmbH","Äußere Regensburgerstr. 41, (Nikola)","Landshut","info@bauservice-landshut.de","0176 34 20 20 69","http://www.bauservice-landshut.de"
"Potsdamer Sanierungsbau GmbH","Rubensstr. 4, (Berliner Vorstadt)","Potsdam","info@potsdamer-sanierungsbau.de","0331 2 80 80-0","https://www.potsdamer-sanierungsbau.de/"
"Acd Bau Berlin GmbH","Gustav-Adolf-Str. 167","Berlin","webmaster@acdbau-berlin.de","","https://www.acdbau-berlin.de"
"ARKUS Bau GmbH & Co.KG","Im Mittelfelde 4, (Hochstedt)","Erfurt","info@arkusbau-erfurt.de","0361 7 31 88 73-0","http://www.arkusbau-erfurt.de"
"AS RAUMDESIGN","Marienstraße 32, (Innenstadt)","Fürth","as.raumdesign@gmx.de","","https://www.as-raumdesign.com/"
"Baugeschäft Lemser GmbH","Lachenstr. 67B, (Uhlstädt)","Uhlstädt-Kirchhasel","lemser-bau@t-online.de","036742 6 23 01","http://www.lemser-bau.de"
"Bauhof H. GmbH","An der Erfurter Str. 13d, (Nohra)","Grammetal","info@bauhofh.de","03643 82 57 55","http://www.bauhofh.de"
"Bauunternehmen Endres","An der Warth 8, (Eyershausen)","Bad Königshofen","info@endres-gmbh.de","09765 2 02","http://endres-gmbh.de"
"Bucic Bau Eu","Jungenstraße 11, (Mülheim)","Mülheim-Kärlich","info@bucicbau.eu","0261 89 99 89 30","https://www.bucicbau.eu/"
"Christmann GmbH","Karl-Marien-Str. 17","Arnstadt","christmann.gmbh@gmx.de","03628 7 07 41","http://www.christmann-bau.de"
"Concept-Bau","Smetanaweg 9, (Lerchenberg)","Mainz","info@concept-bau.info","0157 55 96 07 28","https://concept-bau.info/"
"FixIt Hausservice & Bau Dienstleistungen","Weinstr","Siebeldingen","fixit-hausservice@web.de","","https://fixit-landau.de"
"Frank Schäfer GmbH","Carl-Zeiss-Ring 11","Rastenberg","info@frank-schaefer-gmbh.de","036377 76 20","http://www.frank-schaefer-gmbh.de"
"Helfende Hände Berlin","Eichelhäherstraße 5, (Konradshöhe)","Berlin","info@helfende-haende-berlin.de","030 45 02 82 37","https://www.helfende-haende-berlin.de/"
"IH-Zeidler / Weichert & Zeidler GbR","Hassoweg 23, (Altglienicke)","Berlin","info@ih-zeidler.de","030 56 98 78","https://ih-zeidler.de"
"Jaeger Hoch- & Tiefbau GmbH","Hüttenallee 45, (Wethmar)","Lünen","kontakt@jaeger-hochundtiefbau.de","02306 75 77 05","https://www.jaeger-hochundtiefbau.de"
"jurte.de GmbH","Bergstraße 11","Velden","info@jurte.de","","https://jurte.de/"
"Köhler Bau GmbH","Am Pfefferberg 6","Schmölln","info@koehlerbau-sln.de","034491 5 68 00","http://www.koehlerbau-sln.de"
"Komplettsanierung 24 GmbH","Oldenburger Straße 4b, (Moabit)","Berlin","info@komplettsanierung24.de","","https://komplettsanierung24.de/"
"Maiwald Baumanagement GmbH","Am Weidenring 56, (Ober-Eschbach)","Bad Homburg v.d.H","info@maiwald-baumanagement.de","","https://www.maiwald-baumanagement.de"
"MarmoFix","Neuergraben 15a","Werl","info@perfekter-boden.de","02922 8 86 96 79","https://perfekter-boden.de/"
"Meisterwerk Unikathaus GmbH","Klingholzstraße 7, (Südost)","Wiesbaden","info@massivhaus-unikate.de","","https://www.massivhaus-unikate.de"
"Michael Gärtner GmbH Bauunternehmung","Am Lützer Feld 10 A","Arnstadt","info@michaelgaertner.de","03628 66 39 30","https://www.michaelgaertner.de/"
"MORILO GmbH","Südwestkorso 14, (Friedenau)","Berlin","info@morilo.eu","","https://morilo.eu"
"SBR Sanierbau GmbH","Gleichenstr. 47, (Siebleben)","Gotha","sanierbau@hotmail.com","03621 30 00 30","https://www.sanierbau.de"
"Schroeder Bau Eisenach GmbH","Altstadtstraße 42","Eisenach","info@schroederbau.com","03691 2 90 90","http://www.schroederbau.com"
"Seryozha Zahov","Madaustr. 26, (Madau)","Bad Aibling","kontakt@zahov-bau.de","","https://zahov-bau.de/"
"Shaheen Bau GmbH","Kuseler Str. 15, (Eitzweiler)","Freisen","info@shaheenbau.de","0176 24 95 13 73","https:// www.shaheenbaugmbh .de"
"Vogler Bau GmbH","Am Brühl 9, (Ammern)","Unstruttal","info@vogler-bau-gmbh.de","03601 44 06 14","http://www.vogler-bau-gmbh.de"
"Wetterau-Bau Hoch- & Tiefbau GmbH","Friedensstr. 36","Eisenach","info@wetterau-bau.de","03691 20 37 21","https://www.wetterau-bau.de/"
"Wolber Bausanierung","Kupferdreher Strasse 12, (Langenberg)","Velbert","info@bs-wolber.de","","https://bs-wolber.de"
"Fritz Rudolph Bauunternehmung GmbH","Windeckstr. 13, (Beiertheim-Bulach)","Karlsruhe","info@rudolph-bauunternehmung.de","0721 86 51 21","http://www.rudolph-bauunternehmung.de"
"Baugeschäft Spöck","Zur Aussicht 11, (Törwang)","Samerberg","info@baugeschaeft-spoeck.de","08032 84 20","https://www.baugeschaeft-spoeck.de"
"WACKERBAU GmbH & Co. KG","Waltersweierweg 5a-c","Offenburg","info@wackergruppe.de","0781 78 72-0","http://www.wackergruppe.de"
"RIEGER ""Räume neu erleben""","Kurstr. 66, (Altstadt)","Brandenburg an der Havel","info@rieger-innenausbau.de","03381 70 20 52","https://www.rieger-innenausbau.de"
"Zahn Bauunternehmung GmbH & Co. KG","Auf dem Hövellande 8, (Schüren)","Dortmund","u00a0zahn-bau@t-online.de","0231 42 00 94","https://www.zahn-bauunternehmung.com"
"Zimmermann-Bau GmbH Bauunternehmen","Moltkeplatz 3","Müllheim","info@zimmermann-bau.de","07631 7 40 29 77","http://www.zimmermann-bau.de"
"Bauunternehmung Schröder","Winterstr. 9, (Nord)","Remscheid","service@bau-schroeder.de","02191 8 00 75","http://www.bau-schroeder.de"
"Klixer Recycling und Service GmbH","Burker Str. 28a, (Burk)","Bautzen","klixer-recycling@t-online.de","03591 27 47 20","http://www.klixer-recycling.de"
"GMW Solidbau GmbH","Tunnelweg 46, (Gesau)","Glauchau","info@gmw-solidbau.de","03763 1 70 90","http://www.gmw-solidbau.de"
"SAG Sanierung und Ausbau GmbH","Schlüterstr. 20, (Gruna)","Dresden","sag-dresden@t-online.de","0351 3 36 02 63","http://www.sanierung-ausbau.de"
"Harzer BauVerputz","Schmiedgasse 10, (Dittersdorf)","Amtsberg","bauverputz@aol.com","037209 69 99 95","http://www.bau-verputz.de"
"Bau- & Montageservice Ringo Stolpe","Am Anger 9, (Torno)","Lauta/Torno","info@lausitzer-trockenbau.de","035722 9 49 80","http://www.lausitzer-trockenbau.de"
"Brückner & Co. Bau GmbH","Wilkauer Str. 2-6, (Cainsdorf)","Zwickau","thomas@bruecknerbau.de","0375 67 96 60","http://www.bruecknerbau.de"
"C.T.G. Chemnitzer Tiefbau GmbH & Co. KG","An den Teichen 4, (Mittelbach)","Chemnitz","tiefbau@ctg-rbs.de","0371 40 47 04 71","http://www.tiefbau-chemnitz.de"
"Fassaden - Pletz GmbH","Falkensteiner Str. 50, (Reusa)","Plauen","info@fassaden-pletz.de","03741 44 20 11","http://www.fassaden-pletz.de"
"Augsburg C. Bau GmbH","Altwölfnitz 2, (Naußlitz)","Dresden","mail@augsburgbaudresden.de","0351 4 11 71 48","http://www.augsburgbaudresden.de"
"Baugeschäft Robert Bialek","Gröbastr. 8","Radebeul","info@bau-bialek.de","0351 8 38 28 91","http://www.bau-bialek-radebeul.de"
"Bauunternehmen Morgenrot GmbH","Berliner Str. 50","Großenhain","info@morgenrot.info","03522 3 19 10","http://www.morgenrot.info"
"Bauunternehmung Müller GmbH & Co. KG","Rheinberger Str. 71","Alpen","info@mueller-alpen.de","02802 23 28","http://www.mueller-alpen.de"
"Graupner Bauunternehmen GmbH & Co. KG","Kühnhaider Str. 48, (Dittersdorf)","Lößnitz","info@graupner-bau.de","03771 2 18 20 40","http://www.graupner-bau.de"
"HB-Baugesellschaft mbH","Weideweg 15, (Rottluff)","Chemnitz","info@hb-bau.eu","0371 3 55 75 56","http://www.hb-bau.eu"
"PTF Bau GmbH","Großenhainer Str. 67","Meißen","info@ptf-bau.de","03521 73 13 51","http://www.ptf-bau.de"
"Baubetrieb Kauer","Fabrikstr. 2, (Helmsdorf)","Stolpen","info@baubetrieb-kauer.de","035973 2 81 33","http://www.baubetrieb-kauer.de"
"Bauunternehmen Peschel","Rudolf-Breitscheid-Str. 31","Heidenau","info@bauunternehmen-peschel.de","03529 52 91 57","http://wordpress.bauunternehmen-dresden.de/"
"Kotte Sven","Hohe Kiefer 21B","Kleinmachnow","s.kotte@gmx.de","033203 2 32 52",""
"Schukowski Bau","Straße vor Schönholz 14, (Niederschönhausen)","Berlin","info@schukowski.de","030 9 16 99 42-0","http://www.schukowski.de"
"Bausanierung HOYH und Team GmbH","Grienäckerweg 8","Nürtingen","post@bausanierung-hoyh.de","07022 82 67","https://www.bausanierung-hoyh.de"
"Anton Steininger GmbH Bauunternehmen","Austr. 20","Neunburg","service@anton-steininger.de","09672 50 80","https://www.anton-steininger.de/"
"Baugeschäft Boland GmbH & Co. KG","Möllenweg 1, (Loikum)","Hamminkeln","info@baugeschaeft-boland.de","02852 31 08","https://www.baugeschaeft-boland.de"
"Bauuntenehmen Georg Ultsch GmbH","Gewerbegebiet Süd 14","Obermichelbach","info@bauunternehmen-georgultsch.de","0911 7 80 75 73","http://www.bauunternehmen-georgultsch.de"
"Bauunternehmen Götz & Hauck GmbH","Seeweg 8","Dingolshausen","info@goeha-bau.de","09382 3 16 50","https://www.goeha-bau.de"
"Bauunternehmen Jahner GmbH","Westerstetter Str. 8, (Luizhausen)","Lonsee","mail@jahner-bau.de","07336 9 21 93-0","http://www.jahner-bau.de"
"Bauunternehmen Josef Amling GmbH","Benkertsweg 7","Eibelstadt","info@amling-bau.de","09303 22 28","https://amling-bau.de/"
"Bauunternehmen Keller GmbH","Wiesenweg 15","Unterpleichfeld","info@bauteam-keller.de","09367 9 08 30","https://www.bauteam-keller.de"
"Bauunternehmen Ulrich","Am Lanzenbusch 5b, (Ramstein)","Ramstein-Miesenbach","bauunternehmenulrich@t-online.de","06371 5 70 12","http://www.bauunternehmen-ulrich.de"
"BHS Bau Reichenbach GmbH","Bachgasse 2","Reichenbach","bhsbau@t-online.de","03765 71 90 77","https://www.bhs-bau-reichenbach.de/"
"Billstein jun. Bauunternehmen GmbH & Co. KG","Emil-Schäfer-Str. 71","Krefeld","info@billstein-bau.de","02151 47 37 39","https://www.billstein-bau.de"
"Carl Heuchel GmbH & Co. KG","Augsburger Str. 53","Nördlingen","info@heuchel.de","09081 2 19 80","https://www.heuchel.de/"
"Harald Schnabel Bauunternehmung GmbH & Co. KG","Meerbuscher Str. 16, (Nord)","Kaarst","harald-schnabel-bau@t-online.de","02131 66 67 10","http://www.schnabel-bau-kaarst.de"
"JOSEF HELL Bauunternehmen GmbH","August-Albert-Str. 1, (Eltingshausen)","Oerlenbach","info@josef-hell.de","09738 85 97 70","https://www.josef-hell.de"
"Josef Schmitz GmbH Hoch- und Tiefbau","Gartenstr. 11","Großlittgen","info@josef-schmitz.de","06575 41 63","http://www.josef-schmitz.de"
"Krätz Bau GmbH & Co. KG Bauunternehmen","Josef-Krätz-Str. 12, (Hausen)","Dillingen","info@kraetz-bau.de","09071 40 39","http://www.kraetz-bau.de"
"KUTTER GmbH & Co. KG BAUUNTERNEHMUNG","Augsburger Str. 55","Memmingen","info@kutter.de","0172 9 91 10 03","http://www.Kutter.de"
"Liamsbau","Thyssenstr. 179, (Averbruch)","Dinslaken","kontakt@liamsbauteam.de","02064 8 26 64 71","http://www.liamsbauteam.de"
"Maurermeister Markus Röger","Siegelohplatz 4","Auerbach","info@maurermeister-roeger.de","03744 18 23 50","https://www.maurermeister-roeger.de/"
"OA-Bauunternehmen","Maysweg 10, (St. Tönis)","Tönisvorst","info@bauunternehmen-andresen.de","0162 9 80 29 63","https://www.bauunternehmen-andresen.de/"
"Olaf Fix Baugeschäft","Lichtenauer Str. 36 A, (Ebersdorf)","Chemnitz","fix.olaf@gmail.com","0371 5 73 78 53","https://sellwerk.de/firmenprofil/baugeschaeft-olaf-fix"
"Pfister Bauunternehmen","Franz-Schubert-Str. 32, (Nordwestlicher Stadtteil)","Schweinfurt","info@pfisterbau.de","09721 1 70 90","http://www.pfisterbau.de"
"Schaller Bau GmbH","Altholzstr. 40, (Fischerdorf)","Deggendorf","jobs@schaller-bau.com","0991 77 33","https://www.schaller-bau.com"
"Schirmer Hoch- und Tiefbau GmbH","Am Giltholz 11","Kitzingen","info@schirmer-bau.de","09321 38 37 10","https://www.schirmer-bau.de/"
"Schwinn-Gross GmbH Bauunternehmung","Werkstr. 17","Bad König","info@schwinn-gross.de","06063 6 30","http://www.schwinn-gross.de"
"Simsek Tief- u. Straßenbau GmbH","Am Gäxwald 30","Herxheim bei Landau/Pfalz","info@simsek-bau.de","07276 5 03 08 53","http://www.simsek-bau.de"
"W. u. A. Hartmann Bauunternehmung GmbH","Tannenstr. 1","Albertshofen","info@wua-hartmann.de","09321 3 18 87","http://www.wua-hartmann.de/"
"Weidinger GmbH","Pirkacher Weg 3, (Großalfalterbach)","Deining","info@weidinger-bau.de","09184 21 67","https://www.weidinger-baugeschaeft.de"
"Wening Bau GmbH","Espanstr. 26","Offenhausen","info@wening-bau.de","09158 12 00","https://www.wening-bau.de/"
"wk-bau GmbH","Brühlstr. 20","Hülben","info@wk-bau-gmbh.de","07125 57 68","http://www.wk-bau-gmbh.de"
"YILMAZ GmbH Bauunternehmen","Otto-Hahn-Str. 12","Heppenheim","yilmaz-gmbh@gmx.de","06252 96 53 69","http://www.yilmaz-bauunternehmen.de"
"Bausanierung Kleemann","August-Bebel-Str. 28, (Drehnower Vorstadt)","Peitz","bausanierung-kleemann@t-online.de","035601 8 84 30","http://www.Bausanierung-Kleemann.de"
"FREYER BAUUNTERNEHMEN GmbH","Dorfstr. 20, (Dubrow)","Müllrose","mail@freyergmbh.de","033606 49 86","http://www.freyergmbh.de"
"KH Bau GmbH & Co. KG","Horster Str. 38","Werne","info@kh-bau-werne.de","02389 25 32","http://www.kh-bau-werne.de"
"Bernd Megerle Bauunternehmen","Riedweg 6","Neuenstein","megerle@megerle-bau.de","07942 20 23","https://www.megerle-bau.de"
"Bruno Klein GmbH & Co. KG","Kölner Str. 38","Jünkerath","kontakt@bau-klein.de","06597 9 29 60","http://www.bau-klein.de"
"Geckeler Hoch- und Tiefbau GmbH","Stettener Str. 34, (Erpfingen)","Sonnenbühl","info@geckeler-bau.de","07128 25 59","https://www.geckeler-bau.de"
"Reisinger Bau GmbH","Dansenberger Str. 17, (Dansenberg)","Kaiserslautern","info@reisinger-bau.de","0631 6 88 66","http://www.reisinger-bau.de"
"Schneider + Lieser Hoch- u. Tiefbau GmbH & Co. KG","Seiferstr. 2a, (Quint)","Trier","info@schneider-lieser.de","0651 6 74 44","http://www.schneider-lieser.de"
"XXL-bauteam GmbH","Alt-Hausen 34, (Hausen)","Frankfurt am Main","mail@xxl-bauteam.de","069 25 78 04 90","http://www.xxl-bauteam.de"
"Altbausanierung Gebr. Quast GmbH Bauunternehmen und Bautenschutz","Kornstr. 15, (Obermeiderich)","Duisburg","info@quast-bau.de","0203 41 04 01 01","https://www.quast-bau.de"
"Müller Bauunternehmen GmbH","Neumühlstr. 21, (Billensbach)","Beilstein","info@mit-mueller-bauen.de","07062 2 15 73","http://www.mit-mueller-bauen.de"
"Sebastian Riedel-Bau Meisterbetrieb","Weishamer Str. 16, (Weisham)","Eggstätt","info@bauen-im-chiemgau.de","08056 8 02","https://www.bauen-im-chiemgau.de/"
"Bauunternehmen Franz Nolde GmbH","Zweckeler Str. 22, (Scholven)","Gelsenkirchen","info@noldebau.de","0209 3 18 15-0","http://www.noldebau.de"
"Gumbrecht Bernd Bauunternehmen","Friedenstr. 17, (Siegelsdorf)","Veitsbronn","info@gumbrecht-bau.de","0911 75 11 70","https://gumbrecht-bau.de/"
"Kaßburg Dach - Bau GmbH","Feldtmannstr. 170, (Weißensee)","Berlin","info@kassburg-bau.de","0163 2 79 13 06","https://www.kassburg-bau.de"
"Lofi-Bau GmbH","Am Lemmchen 27, (Mombach)","Mainz","info@lofibau.de","06131 97 09 00","http://www.lofibau.de"
"RALO Umbau & Renovierung","Hordenbachstr. 91, (Ronsdorf)","Wuppertal","info@lobinsky.de","0171 7 91 71 32","https://www.lobinsky.de/"
"Rank Bauunternehmen GmbH","Max-Planck-Str. 5","Kitzingen","info@rankbau.de","09321 9 38 40","https://www.rankbau.de"
"Sperling Bau GmbH","Wendenstr. 4","Frankenwinheim","info@sperling-bau.com","09382 9 74 10","https://www.sperling-bau.de"
"Bauservice Paul","Lohrheidestr. 58, (Wattenscheid)","Bochum","info@paul-bauservice.de","02327 94 78 16","http://www.paul-bauservice.de"
"Havel Bausatzhaus GmbH YTONG Bausatzhauspartner","Dr.-Salvador-Allende-Str. 13","Zehdenick","havel-bausatzhaus@t-online.de","03307 30 28 11","http://www.ytong-bausatzhaus.de/havel"
"Adolf Bach Bau GmbH Hoch-, Tief- u. Stahlbetonbau","Babbergerstr. 2","Karlsruhe","info@bach-bau-gmbh.de","0721 91 21 20","http://www.bach-bau-gmbh.de"
"Bauunternehmen F. Gerber GmbH & Co. KG Hoch-, Tief- & Straßenbau","Markgrafenstr. 111","Denzlingen","info@gerber-bau.de","07666 9 44 79-0","http://www.gerber-bau.de"
"Bauunternehmen Kilic","Adalbert-Stifter-Str. 3, (Gellershagen)","Bielefeld","bauunternehmen-kilic@web.de","0521 9 88 68 14","http://www.bauunternehmen-kilic.de"
"Bauunternehmung Kellner GmbH","Peiner Str. 33, (Rethen)","Laatzen","info@kellner-laatzen.com","05102 9 36 80","http://www.kellner-laatzen.com"
"Brigsinsky Bauunternehmen seit 1965","Langer Heinrich 20, (Leipziger Str.)","Magdeburg","klaus_brigsinsky@t-online.de","0391 6 20 17 70","http://www.brigsinsky.de"
"EAZ BAU Maurerbetrieb Inh. Arton Zeneli","Rodeweg 20, (Grone)","Göttingen","maurerbetrieb@eaz-bau.de","0172 1 62 39 51","http://eazbau-maurerbetrieb.de"
