"agency_name","address","city","email","phone_number","website"
"Frank Schäfer GmbH","Carl-Zeiss-Ring 11","Rastenberg","","036377 76 20","http://www.frank-schaefer-gmbh.de"
"Heinz von Heiden-Hausbaukonzept Daniela Zwerg - Wir bauen Ihr Massivhaus.","Cottaer Str. 2, (Friedrichstadt)","Dresden","","","http://www.hvh-bauen.de"
"Helfende Hände Berlin","Eichelhäherstraße 5, (Konradshöhe)","Berlin","","030 45 02 82 37","https://www.helfende-haende-berlin.de/"
"Hoffmann Bauunternehmen","Hauptstraße 14, (Brück)","Ahrbrück","","0178 3 17 39 62","http://"
"IH-Zeidler / Weichert & Zeidler GbR","Hassoweg 23, (Altglienicke)","Berlin","","030 56 98 78","https://ih-zeidler.de"
"Jaeger Hoch- & Tiefbau GmbH","Hüttenallee 45, (Wethmar)","Lünen","","02306 75 77 05","https://www.jaeger-hochundtiefbau.de"
"jurte.de GmbH","Bergstraße 11","Velden","","","https://jurte.de/"
"KH Bausanierung","Waldweg 13, (Grügelborn)","Freisen","","0157 33 98 86 20","http://"
"Köhler Bau GmbH","Am Pfefferberg 6","Schmölln","","034491 5 68 00","http://www.koehlerbau-sln.de"
"Komplettsanierung 24 GmbH","Oldenburger Straße 4b, (Moabit)","Berlin","","","https://komplettsanierung24.de/"
"LD-SÜW Wasserschadendienst","Luitpoldstr.","Bad Bergzabern","","","http://"
"Maiwald Baumanagement GmbH","Am Weidenring 56, (Ober-Eschbach)","Bad Homburg v.d.H","","","https://www.maiwald-baumanagement.de"
"MarmoFix","Neuergraben 15a","Werl","","02922 8 86 96 79","https://perfekter-boden.de/"
"Meisterwerk Unikathaus GmbH","Klingholzstraße 7, (Südost)","Wiesbaden","","","https://www.massivhaus-unikate.de"
"Michael Gärtner GmbH Bauunternehmung","Am Lützer Feld 10 A","Arnstadt","","03628 66 39 30","https://www.michaelgaertner.de/"
"MORILO GmbH","Südwestkorso 14, (Friedenau)","Berlin","","","https://morilo.eu"
"Norbert Limpert GmbH","Hauptstr. 73","Tüttleben","","03621 30 07 10","http://www.norbert-limpert.de"
"R & A Bau und Bautenschutz GmbH","Langenschader Str. 30 A","Saalfeld","","03671 67 21 68","https://www.ra-bausanierung.de"
"Röhr Klaus Baugeschäft","Außerhalb 2, (Singen)","Stadtilm","","03629 48 69",""
"SBR Sanierbau GmbH","Gleichenstr. 47, (Siebleben)","Gotha","","03621 30 00 30","https://www.sanierbau.de"
"Schroeder Bau Eisenach GmbH","Altstadtstraße 42","Eisenach","","03691 2 90 90","http://www.schroederbau.com"
"Seryozha Zahov","Madaustr. 26, (Madau)","Bad Aibling","","","https://zahov-bau.de/"
"Shaheen Bau GmbH","Kuseler Str. 15, (Eitzweiler)","Freisen","","0176 24 95 13 73","https:// www.shaheenbaugmbh .de"
"Stockinger Bau GmbH Putz und Bau","Roßweg 4","Gerolsbach","","","http://"
"Thomas Richter GmbH","Leipziger Straße 27, (Schloßchemnitz)","Chemnitz","","0152 10 51 36 05","http://"
"Vogler Bau GmbH","Am Brühl 9, (Ammern)","Unstruttal","","03601 44 06 14","http://www.vogler-bau-gmbh.de"
"Wetterau-Bau Hoch- & Tiefbau GmbH","Friedensstr. 36","Eisenach","","03691 20 37 21","https://www.wetterau-bau.de/"
"Wolber Bausanierung","Kupferdreher Strasse 12, (Langenberg)","Velbert","","","https://bs-wolber.de"
"Fritz Rudolph Bauunternehmung GmbH","Windeckstr. 13, (Beiertheim-Bulach)","Karlsruhe","","0721 86 51 21","http://www.rudolph-bauunternehmung.de"
"Baugeschäft Spöck","Zur Aussicht 11, (Törwang)","Samerberg","","08032 84 20","https://www.baugeschaeft-spoeck.de"
"WACKERBAU GmbH & Co. KG","Waltersweierweg 5a-c","Offenburg","","0781 78 72-0","http://www.wackergruppe.de"
"RIEGER ""Räume neu erleben""","Kurstr. 66, (Altstadt)","Brandenburg an der Havel","","03381 70 20 52","https://www.rieger-innenausbau.de"
"Zahn Bauunternehmung GmbH & Co. KG","Auf dem Hövellande 8, (Schüren)","Dortmund","","0231 42 00 94","https://www.zahn-bauunternehmung.com"
"Zimmermann-Bau GmbH Bauunternehmen","Moltkeplatz 3","Müllheim","","07631 7 40 29 77","http://www.zimmermann-bau.de"
"Bauunternehmung Schröder","Winterstr. 9, (Nord)","Remscheid","service@bau-schroeder.de","02191 8 00 75","http://www.bau-schroeder.de"
"Klixer Recycling und Service GmbH","Burker Str. 28a, (Burk)","Bautzen","klixer-recycling@t-online.de","03591 27 47 20","http://www.klixer-recycling.de"
"GMW Solidbau GmbH","Tunnelweg 46, (Gesau)","Glauchau","info@gmw-solidbau.de","03763 1 70 90","http://www.gmw-solidbau.de"
"SAG Sanierung und Ausbau GmbH","Schlüterstr. 20, (Gruna)","Dresden","sag-dresden@t-online.de","0351 3 36 02 63","http://www.sanierung-ausbau.de"
"Harzer BauVerputz","Schmiedgasse 10, (Dittersdorf)","Amtsberg","bauverputz@aol.com","037209 69 99 95","http://www.bau-verputz.de"
"Bau- & Montageservice Ringo Stolpe","Am Anger 9, (Torno)","Lauta/Torno","info@lausitzer-trockenbau.de","035722 9 49 80","http://www.lausitzer-trockenbau.de"
"Brückner & Co. Bau GmbH","Wilkauer Str. 2-6, (Cainsdorf)","Zwickau","thomas@bruecknerbau.de","0375 67 96 60","http://www.bruecknerbau.de"
"C.T.G. Chemnitzer Tiefbau GmbH & Co. KG","An den Teichen 4, (Mittelbach)","Chemnitz","tiefbau@ctg-rbs.de","0371 40 47 04 71","http://www.tiefbau-chemnitz.de"
"Fassaden - Pletz GmbH","Falkensteiner Str. 50, (Reusa)","Plauen","info@fassaden-pletz.de","03741 44 20 11","http://www.fassaden-pletz.de"
"Augsburg C. Bau GmbH","Altwölfnitz 2, (Naußlitz)","Dresden","mail@augsburgbaudresden.de","0351 4 11 71 48","http://www.augsburgbaudresden.de"
"Baugeschäft Robert Bialek","Gröbastr. 8","Radebeul","info@bau-bialek.de","0351 8 38 28 91","http://www.bau-bialek-radebeul.de"
"Bauunternehmen Morgenrot GmbH","Berliner Str. 50","Großenhain","info@morgenrot.info","03522 3 19 10","http://www.morgenrot.info"
"Bauunternehmung Müller GmbH & Co. KG","Rheinberger Str. 71","Alpen","info@mueller-alpen.de","02802 23 28","http://www.mueller-alpen.de"
"Graupner Bauunternehmen GmbH & Co. KG","Kühnhaider Str. 48, (Dittersdorf)","Lößnitz","info@graupner-bau.de","03771 2 18 20 40","http://www.graupner-bau.de"
"HB-Baugesellschaft mbH","Weideweg 15, (Rottluff)","Chemnitz","info@hb-bau.eu","0371 3 55 75 56","http://www.hb-bau.eu"
"PTF Bau GmbH","Großenhainer Str. 67","Meißen","info@ptf-bau.de","03521 73 13 51","http://www.ptf-bau.de"
"Baubetrieb Kauer","Fabrikstr. 2, (Helmsdorf)","Stolpen","info@baubetrieb-kauer.de","035973 2 81 33","http://www.baubetrieb-kauer.de"
"Bauunternehmen Peschel","Rudolf-Breitscheid-Str. 31","Heidenau","info@bauunternehmen-peschel.de","03529 52 91 57","http://wordpress.bauunternehmen-dresden.de/"
"Kotte Sven","Hohe Kiefer 21B","Kleinmachnow","s.kotte@gmx.de","033203 2 32 52",""
"Schukowski Bau","Straße vor Schönholz 14, (Niederschönhausen)","Berlin","info@schukowski.de","030 9 16 99 42-0","http://www.schukowski.de"
"Bauunternehmen Horst Buschmann GmbH","Hallstattstr. 12, (Mittelstadt)","Reutlingen","","07127 9 77 80","http://www.buschmannbau.de/"
"Bausanierung HOYH und Team GmbH","Grienäckerweg 8","Nürtingen","","07022 82 67","https://www.bausanierung-hoyh.de"
"Beha Albert Im Um Auf's Haus","Philipp-Reis-Str. 19, (Villingen)","Villingen-Schwenningen","","07721 8 78 74 99",""
"Anton Steininger GmbH Bauunternehmen","Austr. 20","Neunburg","service@anton-steininger.de","09672 50 80","https://www.anton-steininger.de/"
"Baugeschäft Boland GmbH & Co. KG","Möllenweg 1, (Loikum)","Hamminkeln","info@baugeschaeft-boland.de","02852 31 08","https://www.baugeschaeft-boland.de"
"Bauuntenehmen Georg Ultsch GmbH","Gewerbegebiet Süd 14","Obermichelbach","info@bauunternehmen-georgultsch.de","0911 7 80 75 73","http://www.bauunternehmen-georgultsch.de"
"Bauunternehmen Götz & Hauck GmbH","Seeweg 8","Dingolshausen","info@goeha-bau.de","09382 3 16 50","https://www.goeha-bau.de"
"Bauunternehmen Jahner GmbH","Westerstetter Str. 8, (Luizhausen)","Lonsee","","07336 9 21 93-0","http://www.jahner-bau.de"
"Bauunternehmen Josef Amling GmbH","Benkertsweg 7","Eibelstadt","info@amling-bau.de","09303 22 28","https://amling-bau.de/"
"Bauunternehmen Keller GmbH","Wiesenweg 15","Unterpleichfeld","info@bauteam-keller.de","09367 9 08 30","https://www.bauteam-keller.de"
"Bauunternehmen Ulrich","Am Lanzenbusch 5b, (Ramstein)","Ramstein-Miesenbach","","06371 5 70 12","http://www.bauunternehmen-ulrich.de"
"BHS Bau Reichenbach GmbH","Bachgasse 2","Reichenbach","bhsbau@t-online.de","03765 71 90 77","https://www.bhs-bau-reichenbach.de/"
"Billstein jun. Bauunternehmen GmbH & Co. KG","Emil-Schäfer-Str. 71","Krefeld","info@billstein-bau.de","02151 47 37 39","https://www.billstein-bau.de"
"Carl Freitag Bauunternehmen GmbH & Co. KG","Industriestr. 8, (Rödgen)","Gießen","","0641 7 99 01 70","http://www.carlfreitag.de"
"Carl Heuchel GmbH & Co. KG","Augsburger Str. 53","Nördlingen","","09081 2 19 80","https://www.heuchel.de/"
"Harald Schnabel Bauunternehmung GmbH & Co. KG","Meerbuscher Str. 16, (Nord)","Kaarst","harald-schnabel-bau@t-online.de","02131 66 67 10","http://www.schnabel-bau-kaarst.de"
"JOSEF HELL Bauunternehmen GmbH","August-Albert-Str. 1, (Eltingshausen)","Oerlenbach","info@josef-hell.de","09738 85 97 70","https://www.josef-hell.de"
"Josef Schmitz GmbH Hoch- und Tiefbau","Gartenstr. 11","Großlittgen","","06575 41 63","http://www.josef-schmitz.de"
"Krätz Bau GmbH & Co. KG Bauunternehmen","Josef-Krätz-Str. 12, (Hausen)","Dillingen","","09071 40 39","http://www.kraetz-bau.de"
"KUTTER GmbH & Co. KG BAUUNTERNEHMUNG","Augsburger Str. 55","Memmingen","","0172 9 91 10 03","http://www.Kutter.de"
"Liamsbau","Thyssenstr. 179, (Averbruch)","Dinslaken","kontakt@liamsbauteam.de","02064 8 26 64 71","http://www.liamsbauteam.de"
"Maurermeister Markus Röger","Siegelohplatz 4","Auerbach","info@maurermeister-roeger.de","03744 18 23 50","https://www.maurermeister-roeger.de/"
"Melchers, Andreas Bauunternehmen","Frohnhauser Str. 149, (Frohnhausen)","Essen","","0201 75 95 88 99","https://www.melchers-bau.de"
"OA-Bauunternehmen","Maysweg 10, (St. Tönis)","Tönisvorst","info@bauunternehmen-andresen.de","0162 9 80 29 63","https://www.bauunternehmen-andresen.de/"
"Olaf Fix Baugeschäft","Lichtenauer Str. 36 A, (Ebersdorf)","Chemnitz","fix.olaf@gmail.com","0371 5 73 78 53","https://sellwerk.de/firmenprofil/baugeschaeft-olaf-fix"
"Pfister Bauunternehmen","Franz-Schubert-Str. 32, (Nordwestlicher Stadtteil)","Schweinfurt","info@pfisterbau.de","09721 1 70 90","http://www.pfisterbau.de"
"Schaller Bau GmbH","Altholzstr. 40, (Fischerdorf)","Deggendorf","","0991 77 33","https://www.schaller-bau.com"
"Schirmer Hoch- und Tiefbau GmbH","Am Giltholz 11","Kitzingen","info@schirmer-bau.de","09321 38 37 10","https://www.schirmer-bau.de/"
"Schwinn-Gross GmbH Bauunternehmung","Werkstr. 17","Bad König","","06063 6 30","http://www.schwinn-gross.de"
"Simsek Tief- u. Straßenbau GmbH","Am Gäxwald 30","Herxheim bei Landau/Pfalz","","07276 5 03 08 53","http://www.simsek-bau.de"
"W. u. A. Hartmann Bauunternehmung GmbH","Tannenstr. 1","Albertshofen","info@wua-hartmann.de","09321 3 18 87","http://www.wua-hartmann.de/"
"Weidinger GmbH","Pirkacher Weg 3, (Großalfalterbach)","Deining","info@weidinger-bau.de","09184 21 67","https://www.weidinger-baugeschaeft.de"
"Wening Bau GmbH","Espanstr. 26","Offenhausen","info@wening-bau.de","09158 12 00","https://www.wening-bau.de/"
"Wenthaus Bauservice GmbH","Pferdekamp 3, (Bockum-Hövel)","Hamm","","02381 97 20 20","http://www.wenthausbau.de"
"wk-bau GmbH","Brühlstr. 20","Hülben","","07125 57 68","http://www.wk-bau-gmbh.de"
"YILMAZ GmbH Bauunternehmen","Otto-Hahn-Str. 12","Heppenheim","","06252 96 53 69","http://www.yilmaz-bauunternehmen.de"
"Bausanierung Kleemann","August-Bebel-Str. 28, (Drehnower Vorstadt)","Peitz","","035601 8 84 30","http://www.Bausanierung-Kleemann.de"
"FREYER BAUUNTERNEHMEN GmbH","Dorfstr. 20, (Dubrow)","Müllrose","","033606 49 86","http://www.freyergmbh.de"
"MATTIG & LINDNER GmbH","","Forst (Lausitz)","","03562 97 03-0","http://www.mattig-lindner.de"
"KH Bau GmbH & Co. KG","Horster Str. 38","Werne","","02389 25 32","http://www.kh-bau-werne.de"
"Bauunternehmen Hassler GmbH","Ziegelhütterstr. 17","Katzweiler","","06301 14 09","http://www.hassler-katzweiler.de"
"Becker-Marx Bauunternehmung","In der Füll 30","Dreis","","06578 98 41 43","http://www.becker-marx-bau.de"
"Bernd Megerle Bauunternehmen","Riedweg 6","Neuenstein","","07942 20 23","https://www.megerle-bau.de"
"Bruno Klein GmbH & Co. KG","Kölner Str. 38","Jünkerath","","06597 9 29 60","http://www.bau-klein.de"
"Geckeler Hoch- und Tiefbau GmbH","Stettener Str. 34, (Erpfingen)","Sonnenbühl","","07128 25 59","https://www.geckeler-bau.de"
"Lösch Bau Inhaber Sebastian Serr e.K.","Südring 36","Kuhardt","","07272 7 13 58","http://www.loeschbau.de"
"Reisinger Bau GmbH","Dansenberger Str. 17, (Dansenberg)","Kaiserslautern","","0631 6 88 66","http://www.reisinger-bau.de"
"Schneider + Lieser Hoch- u. Tiefbau GmbH & Co. KG","Seiferstr. 2a, (Quint)","Trier","","0651 6 74 44","http://www.schneider-lieser.de"
"XXL-bauteam GmbH","Alt-Hausen 34, (Hausen)","Frankfurt am Main","","069 25 78 04 90","http://www.xxl-bauteam.de"
"Altbausanierung Gebr. Quast GmbH Bauunternehmen und Bautenschutz","Kornstr. 15, (Obermeiderich)","Duisburg","","0203 41 04 01 01","https://www.quast-bau.de"
"Bauunternehmung Gerald Bauder GmbH","Bruckwiesenstr. 19, (Hertmannsweiler)","Winnenden","","07195 23 13","http://www.bauder-bauunternehmung.de"
"Deuschle Markus","Gottlieb-Wolfer-Str. 10","Denkendorf","","0711 3 46 14 65","http://www.deuschle-bau.de"
"Hoyler Bauunternehmen Beton / Stahlbetonbau / Mauerwerk / Umbauarbeiten","Dinkelweg 1","Kirchheim","","07021 8 11 07",""
"Müller Bauunternehmen GmbH","Neumühlstr. 21, (Billensbach)","Beilstein","","07062 2 15 73","http://www.mit-mueller-bauen.de"
"Andreas Kohl Baugesellschaft mbH","Melsbacher Str. 28, (Niederbieber)","Neuwied","","02631 5 42 62",""
"Sebastian Riedel-Bau Meisterbetrieb","Weishamer Str. 16, (Weisham)","Eggstätt","","08056 8 02","https://www.bauen-im-chiemgau.de/"
"Bauunternehmen Franz Nolde GmbH","Zweckeler Str. 22, (Scholven)","Gelsenkirchen","","0209 3 18 15-0","http://www.noldebau.de"
"Gumbrecht Bernd Bauunternehmen","Friedenstr. 17, (Siegelsdorf)","Veitsbronn","info@gumbrecht-bau.de","0911 75 11 70","https://gumbrecht-bau.de/"
