"agency_name","address","city","email","phone_number","website"
"Franz Nolde GmbH Bauunternehmen","Zweckeler Str. 22, (Scholven)","Gelsenkirchen","info@noldebau.de","0209 31 81 50","https://www.noldebau.de/"
"Geitner Bau GmbH","Ludwigskanalstr. 35, (Unterölsbach)","Berg","info@geitner-bau.de","09189 4 12 02 91","https://geitner-bau.de/"
"Guggenberger GmbH","Mintrachinger Str. 5, (Mangolding)","Mintraching","info@guggenberger-bau.de","09406 28-0","https://www.guggenberger-bau.de/"
"Hachinger Bau GmbH","Münchner Str. 70","Unterhaching","hb@hachingerbau.de","089 67 35 95 30","https://www.hachingerbau.de"
"Hierl Bauunternehmen GmbH","Hauptstr. 3, (Günching)","Velburg","hierlbau@t-online.de","09184 8 00 23","http://www.hierlbau.de"
"Meiser Bauarbeiten GmbH & Co. KG","Kölner Str. 1","Rüsselsheim am Main","kontakt@meiser-bauarbeiten.de","06144 4 08 97 38","http://www.meiser-bauarbeiten.de"
"Rappel Bau GmbH","Römerstr. 18","Mötzing","info@rappel-bau.com","09480 93 87 70","http://www.rappel-bau.com"
"Reiner Schädler Bauunternehmung GmbH","Pappelweg 14, (Unterhausen)","Lichtenstein","info@schaedler-bau.de","07129 6 02 66","https://www.schaedler-bau.de"
"Richard Wacker GmbH, Bauuntern.","Brunnenstr. 28, (Biberach)","Heilbronn","info@wacker-bauunternehmung.de","07066 9 55 20","http://www.wacker-bauunternehmung.de"
"Schäfer & Geis GmbH","Siemensstr. 7, (Lengfurt)","Triefenstein","info@schaefer-geis.de","09395 87 82 57","https://www.schaefer-geis.de"
"Striebel Baugeschäft","Schillerstr. 19","Laichingen","info@striebel-bau.de","07333 30 71","https://striebel-bau.de/"
"Swissbauen GmbH Bauunternehmen","Obenhauptstr. 7, (Groß Borstel)","Hamburg","bau@swissbauen.de","0171 7 87 05 00","http://www.swissbauen.de"
"Wendt Grundbau GmbH","Wildmeisterdamm 253, (Buckow)","Berlin","info@wendt-grundbau.de","030 6 09 70 80","https://www.wendt-grundbau.de"
"WILHELM WEIDLER GmbH & Co. KG Bauunternehmung I Tiefbau I Straßenbau I Wasserbau I Erdbau","Haubersbronner Str. 74","Urbach","anfragen@wilhelm-weidler.de","07181 9 87 00","http://www.wilhelm-weidler.de/"
"Zarges Bau GmbH","Friedrich-Engels-Allee 163, (Barmen)","Wuppertal","max.zarges@zarges-bau.de","0202 2 81 08-0","https://www.zarges-bau.de"
"Andreas Wittmann GmbH & Co. KG","Löffelholzstr. 8, (Südliche Außenstadt)","Nürnberg","info@wittmann-bau.de","0911 94 17 65","http://www.wittmann-bau.de"
"Helmut Kautschur Immobilien & Bauträger GmbH","Kerpener Str. 60","Kerpen","info@kautschur.de","02273 5 24 53","http://www.kautschur.de"
"HuT Oderbau GmbH","Münchehofer Weg 48","Müncheberg","info@hut-oderbau.de","033432 9 19 25","http://www.hut-oderbau.de"
"Kramke Baugesellschaft mbH","Konrad-Zuse-Ring 13, (Nauener Vorstadt)","Potsdam","info@kramke-baugruppe.de","0331 5 05 83 60","http://www.kramke-hallensysteme.de"
"Schleiff Bauflächentechnik GmbH & Co. KG","Brüsseler Allee 15","Erkelenz","info@schleiff.de","02431 96 41-0","http://www.schleiff.de"
"Step to Home oHG","In der Wüste 31, (Lützenkirchen)","Leverkusen","info@step-to-home.de","02171 3 62 62 48","http://www.step-to-home.de"
"ANES Bauausführungen Berlin GmbH","Adam-von-Trott-Str. 7, (Charlottenburg-Nord)","Berlin","info@anesbau.de","030 33 30 60","http://www.anesbau.de"
"Bauunternehmen Torsten Krause","An der Schimmings Höhe 1, (Berthelsdorf)","Neustadt","info@bau-krause.de","03596 50 21 03","http://www.bau-krause.de/"
"Völter Torsten","Odertal 4, (Stolzenhagen)","Wandlitz","voelter@t-online.de","033397 7 29 02","http://www.bauhandwerk-voelter.de"
