"hotel_name","address","city","email","phone_number","website","detail_url"
"Pansion Martin","Grljevačka 152, Podstrana","Podstrana","mirela.mikulicic@st.t-com.hr","+385 21 330 326","https://www.pansion-martin.hr","https://www.omh.hr/hotel/pansion-martin/"
"Pansion Kaštel","Kaštelir 28, Kaštelir Poreč","Kaštelir Poreč","kastel@pu.t-com.hr","+385 52 455 310","https://www.kastel-kastelir.hr","https://www.omh.hr/hotel/pansion-kastel/"
"Pansion House Hrga","Pavla Šubića 5c, Vodice","Vodice","info@hrga.net","+385 22 442 958","https://www.hrga.net","https://www.omh.hr/hotel/pansion-house-hrga/"
"Pansion Buratović","Stara cesta 1, Vinjerac","Vinjerac","info@aparthotel-buratovic.hr","+385 23 275 074","https://www.aparthotel-buratovic.hr","https://www.omh.hr/hotel/pansion-buratovic/"
"Pansion Adria","Gornja Vala 6, Drvenik","Drvenik","adria@adria.hr","+385 21 628 012","https://www.adria-drvenik.hr","https://www.omh.hr/hotel/pansion-adria/"
"Lešić Dimitri Palace","Lešić Dimitri Palace P.P. 79 Don Pavla Poše 1-6 , Korčula","Korčula","info@lesic-dimitri.com","+385 20 715 560","https://www.lesic-dimitri.com","https://www.omh.hr/hotel/lesic-dimitri-palace/"
"Hotel Park","Stubište 1, Drniš","Drniš","hotel.park@si.t-com.hr","+385 22 888 636","","https://www.omh.hr/hotel/hotel-park-2/"
"Hotel More","Šetalište Pape Ivana Pavla II 27, Split","Split","hotelmore@hotelmore.hr","+385 21 462 112","https://www.hotelmore.hr","https://www.omh.hr/hotel/hotel-more/"
"Hotel Lovran","Šet. Maršala Tita 19/2, Lovran","Lovran","office@hotel-lovran.hr","+385 51 291 222","https://www.hotel-lovran.hr","https://www.omh.hr/hotel/hotel-lovran/"
"Hotel Consul","Tršćanska 34, Split","Split","hotel-consul@st.htnet.hr","+385 21 340 130","https://www.hotel-consul.net","https://www.omh.hr/hotel/hotel-consul/"
"Hotel Krilo","Poljička cesta krilo 27, Krilo Jesenice","Krilo Jesenice","booking@hotelkrilo.com.hr","+385 91 391 49 40","https://www.hotelkrilo.com","https://www.omh.hr/hotel/hotel-krilo/"
"Casa Romantica La Parenzana","Volpia 3, Buje","Buje","info@parenzana.com.hr","+385 52 725 100","https://www.parenzana.com.hr","https://www.omh.hr/hotel/casa-romantica-la-parenzana/"
"Boutique Hotel Ani","Ante Starčevića, Makarska","Makarska","info@hotelani.hr","0913447250","https://www.hotelani.hr","https://www.omh.hr/hotel/boutique-hotel-ani/"
"Boutique B&B Stancija 1904.","Smoljanci 2-3, Svetivinčenat","Svetivinčenat","info@stancija.com","+385 98 738 974","https://www.stancija.com","https://www.omh.hr/hotel/boutique-bb-stancija-1904/"
"Apartmani Telenta","Ul 1, 57 Vela Luka","57 Vela Luka","info@telenta.net","+385 20 814 230","https://www.telenta.net","https://www.omh.hr/hotel/apartmani-telenta/"
"Apartmani Kamene priče","Castel 57, BALE","BALE","apartmani@kameneprice.com","+385 52 824 235","https://www.kameneprice.com","https://www.omh.hr/hotel/apartmani-kamene-price/"
"Apartmani Bilaja","Marinska cesta 36, Marina","Marina","info@bilaja.com","+385 21 889 310","https://www.bilaja.com","https://www.omh.hr/hotel/apartmani-bilaja/"
"Apartmani As","A.G.Matoša 31, Baška Voda","Baška Voda","as-adria@vip.hr","+385 21 620 720","","https://www.omh.hr/hotel/apartmani-as/"
"Agroturizam Stelio","Loborika 57, Marčana","Marčana","stelio@istra-agroturizam.com","+385 52 550 611","https://www.istra-agroturizam.com","https://www.omh.hr/hotel/agroturizam-stelio/"
"Agroturizam Stancija Negričani","Stancija negričani bb, Marčana","Marčana","konoba-jumbo@pu.htnet.hr","+385 52 391 084","https://www.stancijanegricani.com","https://www.omh.hr/hotel/agroturizam-stancija-negricani/"
"Agroturizam San Mauro","San Mauro 157, Momjan","Momjan","sinkovic@sinkovic.hr","+385 52 779 033","https://www.sinkovic.hr","https://www.omh.hr/hotel/agroturizam-san-mauro/"
"Agroturizam Kalpić","Kalpići 4, Lozovac","Lozovac","agroturizam@gmail.com","+385 22 218 320","https://www.kalpic.com","https://www.omh.hr/hotel/agroturizam-kalpic/"
"Agroturizam Ferlin","Gržini 2, Žminj","Žminj","neven.ferlin@inet.hr","+385 52 823 515","https://www.agroturizam-ferlin.com","https://www.omh.hr/hotel/agroturizam-ferlin/"
"Hotel Villa Magdalena","Mirna ulica 1, Krapinske Toplice","Krapinske Toplice","info@villa-magdalena.net","+385 49 233 333","https://www.villa-magdalena.net","https://www.omh.hr/hotel/hotel-villa-magdalena/"
"Torretta Palace Hotel","Obala Franje Tuđmana 132, Sveti Filip i Jakov","Sveti Filip i Jakov","info@torretta-palace.com","+385 23 335 368, 099 4735 311","https://www.torretta-palace.com","https://www.omh.hr/hotel/torretta-palace-hotel/"
"The Movie Hotel","Savska 141, Zagreb","Zagreb","info@themoviehotel.com","+385 1 4400 680","https://www.themoviehotel.com","https://www.omh.hr/hotel/the-movie-hotel/"
"San Servolo","Momjanska ulica - Via Momiano 2, Buje","Buje","ljubica.grbac@sanservoloresort.com","","https://sanservoloresort.com","https://www.omh.hr/hotel/san-servolo/"
"Hotel Kukuriku","Trg Lokvina 3, Kastav","Kastav","info@kukuriku.hr","+38551691519","https://kukuriku.hr","https://www.omh.hr/hotel/hotel-kukuriku/"
"Puteus Palace heritage hotel","Trg svetog Jeronima 4, Pučišća","Pučišća","reception@puteuspalace.com","+385 21 381-111","https://www.puteuspalace.com","https://www.omh.hr/hotel/puteus-palace-heritage-hotel/"
"Maškovića Han","Vrana Marina 1, Pakoštane","Pakoštane","info@maskovicahan.hr","023 333 230","https://www.maskovicahan.hr","https://www.omh.hr/hotel/maskovica-han/"
"Integral Boutique Hotel Villa Telenta","Ulica 1 . br 55, Vela luka","Vela luka","info@hotel-villatelenta.hr","+385 20 814 230","https://www.hotel-villatelenta.hr","https://www.omh.hr/hotel/integral-boutique-hotel-villa-telenta/"
"Hotel-Restaurant Villa Neretva","Splitska 14 Krvavac ii, Metković","Metković","info@hotel-villa-neretva.com","+385 20 672 200","https://www.hotel-villa-neretva.com","https://www.omh.hr/hotel/hotel-restaurant-villa-neretva/"
"Hotel-restaurant Joso","Dr. Franje Tuđmana 57, Sukošan","Sukošan","info@hotel-joso.hr","+385 23 394 900","https://www.hotel-joso.hr","https://www.omh.hr/hotel/hotel-restaurant-joso/"
"Hotel Zlatni Lav","Martinšćica 18d, Martinšćica","Martinšćica","reservation@hotel-zlatni-lav.com","+385 51 574 020","https://www.hotel-zlatni-lav.com","https://www.omh.hr/hotel/hotel-zlatni-lav/"
"Hotel Zlatna Vala","Sv.Ivan 45, Umag","Umag","info@zlatna-vala.hr","+385 52 756 060","https://www.zlatna-vala.hr","https://www.omh.hr/hotel/hotel-zlatna-vala/"
"Hotel Waldinger","Županijska 8, Osijek","Osijek","info@waldinger.hr","+385 31 250 450","https://www.waldinger.hr","https://www.omh.hr/hotel/hotel-waldinger/"
"Hotel Vrata Krke","Lozovac bb, Šibenik","Šibenik","info@vrata-krke.hr","+385 22 778 091","https://www.vrata-krke.hr","https://www.omh.hr/hotel/hotel-vrata-krke/"
"Hotel Villa Vera","Šetalište maršala Tita 5, Lovran","Lovran","info@hotel-villavera.hr","+385 51 294 120","https://www.hotel-villavera.hr","https://www.omh.hr/hotel/hotel-villa-vera/"
"Hotel Villa Valpovo","Bana Jelačića 1, Valpovo","Valpovo","hotel.villa.valpovo@gmail.com","+385 31 651 960","https://www.villa-valpovo.hr","https://www.omh.hr/hotel/hotel-villa-valpovo/"
"Hotel Villa Rosetta","Crvena uvala 31, Savudrija","Savudrija","info@villarosetta.si","+385 52 725 710","https://www.villarosetta.si","https://www.omh.hr/hotel/hotel-villa-rosetta/"
"Hotel Villa Pattiera","Trumbićev put 9, Cavtat","Cavtat","info@villa-pattiera.hr","+385 20 478 800","https://www.villa-pattiera.hr","https://www.omh.hr/hotel/hotel-villa-pattiera/"
"Hotel Villa Marija","Donji Ratac 24, Tučepi","Tučepi","info@hotelvillamarija.com","+385 21 695 000","https://www.hotelvillamarija.com","https://www.omh.hr/hotel/hotel-villa-marija/"
"Hotel Villa Letan","Peroj 45, Vodnjan","Vodnjan","info@hotel-letan.hr","+385 52 521 006","https://www.hotel-letan.hr","https://www.omh.hr/hotel/hotel-villa-letan/"
"Hotel Villa Conte","Garina 14, Veli Lošinj","Veli Lošinj","hotelvilaconte@gmail.com","","https://www.hotel-vilaconte.com","https://www.omh.hr/hotel/hotel-villa-conte/"
"Hotel Villa Bacchus","Obala Sv. Nikole 89, Baška Voda","Baška Voda","hotel.bacchus@st.htnet.hr","+385 21 695 190","https://www.hotel-bacchus.hr","https://www.omh.hr/hotel/hotel-villa-bacchus/"
"Hotel Villa Astra","Viktora Cara Emina 11, Lovran","Lovran","villa.astra@lovranske-vile.com","+385 51 294 400","https://www.lovranske-vile.com","https://www.omh.hr/hotel/hotel-villa-astra/"
"Hotel Villa Adriatica","Put Vele luke 31, Supetar","Supetar","info@villaadriatica.com","+385 21 755 011","https://www.villaadriatica.com","https://www.omh.hr/hotel/hotel-villa-adriatica/"
"Hotel Vila Ružica","Bana Jelačića 1, Crikvenica","Crikvenica","vila.ruzica@ri.t-com.hr","+385 51 781 600","https://www.vila-ruzica.hr","https://www.omh.hr/hotel/hotel-vila-ruzica/"
"Hotel Vila Rova","Rova 28, Malinska otok Krk","Malinska otok Krk","info@hotel-vila-rova.com","+385 51 866 100","https://www.hotel-vila-rova.com","https://www.omh.hr/hotel/hotel-vila-rova/"
"Boutique Hotel Lili","A. Mohorovičića 16, Rovinj","Rovinj","info@hotellili.com","+385 52 401501","https://www.hotel-vilalili.hr","https://www.omh.hr/hotel/boutique-hotel-lili/"
"Hotel Vicko","Jose Dokoze 20, Starigrad Paklenica","Starigrad Paklenica","info@hotel-vicko.hr","+385 23 369 304","https://www.hotel-vicko.hr","https://www.omh.hr/hotel/hotel-vicko/"
"Hotel Vestibul Palace","Iza Vestibula 4a, Split","Split","info@vestibulpalace.com","+385 21 329 329","https://www.vestibulpalace.com","https://www.omh.hr/hotel/hotel-vestibul-palace/"
"Hotel Velanera","Franje Mošnja 3b, Šišan, Ližanj","Ližanj","velanera@velanera.hr","","https://www.velanera.hr","https://www.omh.hr/hotel/hotel-velanera/"
"Hotel Vela Vrata","Šetalište Vladimira Gortana 7, Buzet","Buzet","booking@velavrata.net","+385 52 494 750","https://www.velavrata.net","https://www.omh.hr/hotel/hotel-vela-vrata/"
"Hotel Trogir Palace","Put gradine 8, Trogir","Trogir","info@trogir-palace.com","+385 21 685 555","http://hotel-palace.net","https://www.omh.hr/hotel/hotel-trogir-palace/"
"Hotel Terra","Slatinska 51, Novalja","Novalja","terrahotelnovalja@gmail.com","+385 53 661 815","https://www.hotel-terra.hr","https://www.omh.hr/hotel/hotel-terra/"
"Hotel Dobrovit","Emila Geistlicha 54 b, Baška","Baška","info@hotel-dobrovit.com","+385 51 864 200","https://www.hotel-dobrovit.com","https://www.omh.hr/hotel/hotel-dobrovit/"
"Hotel Sveti Kriz","Ulica Domovinske Zahvalnosti 1, Trogir","Trogir","hotel@hotel-svetikriz.hr","+38521888118","https://hotel-svetikriz.hr","https://www.omh.hr/hotel/hotel-sveti-kriz/"
"Hotel Sv. Mihovil – Avanturist Club","Bana Jelačića 8, Trilj","Trilj","sime.klaric@gmail.com, sv.mihovil@inet.hr","+385 21 831 770","https://www.svmihovil.com","https://www.omh.hr/hotel/hotel-sv-mihovil-avanturist-club/"
"Hotel Sunčeva Postelja","Podrače 13a, Brela","Brela","info@hotel-brela.com","+385 91 7977659","https://www.hotel-brela.com","https://www.omh.hr/hotel/hotel-sunceva-postelja/"
"Hotel Sunce","Grljevačka 146, Podstrana","Podstrana","hotel-sunce@inet.hr","+385 21 330 183","https://www.hotelsunce.com","https://www.omh.hr/hotel/hotel-sunce/"
"Hotel Štacija","Šetalište Miljenka i Dobrile 34, Kaštel Lukšić","Kaštel Lukšić","info@stacija-hotel.com","+385 21 270 400","https://stacija-hotel.com","https://www.omh.hr/hotel/hotel-stacija/"
"Hotel Spongiola","Obala I Krapanj, Šibenik","Šibenik","info@spongiola.com","+38522348900","https://spongiola.com","https://www.omh.hr/hotel/hotel-spongiola/"
"Hotel Split Podstrana","Strožanačka 20, Podstrana, Split","Podstrana, Split","reception@hotelsplit.com","+385998002000","https://www.hotelsplit.com","https://www.omh.hr/hotel/hotel-split-podstrana/"
"Hotel Skalinada","Zavala bb, Jelsa","Jelsa","skalinada@inet.hr","+385 21 767 019","https://www.skalinada-apartmani-hvar.hr","https://www.omh.hr/hotel/hotel-skalinada/"
"Hotel Scaletta","Flavijevska 26, Pula","Pula","krtalic@pu.t-com.hr","+385 52 541 025","https://www.hotel-scaletta.com","https://www.omh.hr/hotel/hotel-scaletta/"
"Hotel Savus","Dr.Ante Starčevića 2a, Slavonski Brod","Slavonski Brod","info@savus-hotel.com","+385 35 405 888","https://www.savus-hotel.com","https://www.omh.hr/hotel/hotel-savus/"
"Hotel San Rocco","Srednja ulica 2, Brtonigla","Brtonigla","info@san-rocco.hr","+385 52 725 000","https://www.san-rocco.hr","https://www.omh.hr/hotel/hotel-san-rocco/"
"HOTEL ROYAL AIRPORT","Šandora Brešćenskog 8, Velika Gorica","Velika Gorica","info@hotel-royal-airport.com","+385 1 409 3820","https://www.hotel-royal-airport.com","https://www.omh.hr/hotel/hotel-royal-airport/"
"Hotel Pleso","Mikulčićeva 7a, Velika Gorica","Velika Gorica","info@hotel-pleso.hr","+385 1 6253 600","https://www.hotel-pleso.hr","https://www.omh.hr/hotel/hotel-pleso/"
"Hotel Pinia","Porat bb, Malinska","Malinska","hotel-pinia@inet.hr","+385 51 866 333","https://www.hotel-pinia.hr","https://www.omh.hr/hotel/hotel-pinia/"
"Hotel Peteani","Aldo Negri 9, Labin","Labin","info@hotel-peteani.hr","+38552863404","http://www.hotel-peteani.hr","https://www.omh.hr/hotel/hotel-peteani/"
"Hotel Park","Bankete b.b., Hvar","Hvar","info@hotelparkhvar.com","+385 21 718 337","https://www.hotelparkhvar.com","https://www.omh.hr/hotel/hotel-park/"
"Hotel Panorama","Matije Gupca 102, Prelog","Prelog","panorama@dg-sport.com","+38540648090","https://hotel-panorama.com.hr","https://www.omh.hr/hotel/hotel-panorama/"
"Hotel Palcich","Čatrnja 166, Rakovica","Rakovica","hotel.palcich@gmail.com","047 642 422","https://www.hotelpalcich.com","https://www.omh.hr/hotel/hotel-palcich/"
"Hotel Ostrea","Mali Ston, Ston","Ston","ostrea.info@ostrea.hr","+385 20 754 555","https://www.ostrea.hr","https://www.omh.hr/hotel/hotel-ostrea/"
"Hotel NOSTROMO","Obala M Tita 7, Rabac","Rabac","info@nostromo.hr","091-1755770","http://www.nostromo.hr","https://www.omh.hr/hotel/hotel-nostromo/"
"Hotel Murter","Nerežine bb, Murter","Murter","info@hotelmurter.com","+38598 961 9072","https://www.hotelmurter.com","https://www.omh.hr/hotel/hotel-murter/"
"Hotel Monika","Budislavićeva 12, Trogir","Trogir","info@hotel-monika.com.hr","+385 21 882 501","https://www.hotel-monika.com.hr","https://www.omh.hr/hotel/hotel-monika/"
"Hotel Miramare","Ljudevita Gaja 4, Vodice","Vodice","prodaja@miramare-vodice.com","+385 22 440 243","https://www.miramare-vodice.com","https://www.omh.hr/hotel/hotel-miramare-2/"
"Hotel Miramare","Ribarska obala 4, Njivice","Njivice","njivicemiramare@inet.hr","+385 51 867 740","https://www.miramarenjivice.hr","https://www.omh.hr/hotel/hotel-miramare/"
"Hotel Meduza","Augusta Šenoe 24, Biograd na Moru","Biograd na Moru","hotel@hotelmeduza.com","+385 23 383 331","https://www.hotelmeduza.com","https://www.omh.hr/hotel/hotel-meduza/"
"Hotel Mediteran","Matije Gupca 19, Zadar","Zadar","info@mediteran.hr","+385 23 337 500","https://www.mediteran.hr","https://www.omh.hr/hotel/hotel-mediteran/"
"Hotel Maritimo","Put Cvitačke 2a, Makarska","Makarska","info@hotel-maritimo.hr","+385 21 619 900","https://www.hotel-maritimo.hr","https://www.omh.hr/hotel/hotel-maritimo/"
"Hotel Marina Crikvenica","Emila Antića 73, Selce","Selce","info@hotel-marina.hr","051 768-140","https://www.hotel-marina.hr","https://www.omh.hr/hotel/hotel-marina-crikvenica/"
"Hotel Manora","Mandalenska 26b, Nerezine","Nerezine","manora@manora-losinj.hr","+385 51 237 460","https://www.manora-losinj.hr","https://www.omh.hr/hotel/hotel-manora/"
"Hotel Maestral","Rodina 1, Prvić Luka Otok Prvić","Prvić Luka Otok Prvić","info@hotelmaestral.com","+385 22 448 300","https://www.hotelmaestral.com","https://www.omh.hr/hotel/hotel-maestral/"
"Hotel Luxe","Kralja Zvonimira 6, Split","Split","reservations@hotelluxesplit.com","+385 21 314 444","https://www.hotelluxesplit.com","https://www.omh.hr/hotel/hotel-luxe/"
"Hotel Lucija","Braće Dežmalj bb, Posedarje","Posedarje","prodaja@hotel-lucija.hr","+385 23 266 844","https://www.hotel-lucija.hr","https://www.omh.hr/hotel/hotel-lucija/"
"Hotel Lovac","Šime Kurelića 4b, Pazin","Pazin","tisadoo@inet.hr","+385 52 624 324","","https://www.omh.hr/hotel/hotel-lovac/"
"Hotel La Grisa","LA GRISA 23, BALE","BALE","la.grisa@pu.t-com.hr","+385 52 824 501","https://www.la-grisa.com","https://www.omh.hr/hotel/hotel-la-grisa/"
"Hotel Korsal","Šetalište Frana Kršinića 80, Korčula","Korčula","info@hotel-korsal.com","+38520715722","https://hotel-korsal.com","https://www.omh.hr/hotel/hotel-korsal/"
"Hotel Kaštel","Trg Andrea Antico 7, Motovun","Motovun","info@hotel-kastel-motovun.hr","+385 52 681 607","https://www.hotel-kastel-motovun.hr","https://www.omh.hr/hotel/hotel-kastel/"
"Hotel Kanajt","Kanajt 5, Punat","Punat","info@kanajt.hr","+385 51 654 340","https://www.kanajt.hr","https://www.omh.hr/hotel/hotel-kanajt/"
"Hotel Indijan","ŠKVAR 2, Orebić","Orebić","hotel.indijan@email.t-com.hr","+385 20 714 555","https://www.hotelindijan.hr","https://www.omh.hr/hotel/hotel-indijan/"
"Hotel Hani","Gornja vala 6, Drvenik","Drvenik","hotelhani.hr@gmail.com","+385 21 628 044","https://www.hotelhani.hr","https://www.omh.hr/hotel/hotel-hani/"
"Hotel Glavović","Obala Iva Kukljevana bb, Lopud","Lopud","info@hotel-glavovic.hr","+385 20 759 359","https://www.hotel-glavovic.hr","https://www.omh.hr/hotel/hotel-glavovic/"
"Hotel Galija","Epulonova 3, Pula","Pula","info@hotelgalija.hr","+385 52 383 802","https://www.hotelgalija.hr","https://www.omh.hr/hotel/hotel-galija/"
"Hotel Galerija","Pogačićeva 11, Novi Zagreb","Novi Zagreb","recepcija@hotel-galerija.hr","+385 1 654 25 77","https://www.hotel-galerija.hr","https://www.omh.hr/hotel/hotel-galerija/"
"Hotel Frankopan","I. G. KOVAČIĆA 1, Ogulin","Ogulin","hotel-frankopan@hotel-frankopan.hr","+385 47 525 509","https://www.hotel-frankopan.hr","https://www.omh.hr/hotel/hotel-frankopan/"
"Hotel Fontana","Trg Fontana 1, Buzet","Buzet","info@hotelfontanabuzet.com","+385 52 662 615","https://www.hotelfontanabuzet.com","https://www.omh.hr/hotel/hotel-fontana/"
"Hotel Fala","II Trnjanske ledine 18, Zagreb","Zagreb","info@hotelfala.hr","+385 1 6111 062","","https://www.omh.hr/hotel/hotel-fala/"
"Hotel Đakovo","Nikole Tesle 52, Đakovo","Đakovo","hotel-djakovo@hi.t-com.hr","+385 31 840 570","https://www.hotel-djakovo.hr","https://www.omh.hr/hotel/hotel-dakovo/"
"Hotel Dunav","Julija Benešića 62, Ilok","Ilok","hoteldunavilok@hoteldunavilok.com","+385 32 596 500","https://www.hoteldunavilok.com","https://www.omh.hr/hotel/hotel-dunav/"
"Hotel Duje","XVII. ulica broj 20. , Srima Vodice","Srima Vodice","info@hotelduje.com","+385 22 444 220","https://www.hotelduje.com","https://www.omh.hr/hotel/hotel-duje/"
"Hotel Draga di Lovrana","Lovranska Draga 1, Lovranska Draga","Lovranska Draga","info@dragadilovrana.hr","+385 51 294 166","https://www.dragadilovrana.hr","https://www.omh.hr/hotel/hotel-draga-di-lovrana/"
"Hotel Degenija","Selište Drežničko 59, Rakovica","Rakovica","info@hotel-degenija.com","+385 47 782 143","https://www.hotel-degenija.com","https://www.omh.hr/hotel/hotel-degenija/"
"Hotel Crnković","Petra Zrinskog 9, Ludbreg","Ludbreg","info@hotel-crnkovic.hr","","https://www.hotelcrnkovic.com","https://www.omh.hr/hotel/hotel-crnkovic/"
"Hotel Boškinac","Novaljsko polje, Novalja ( otok Pag )","Novalja ( otok Pag )","info@boskinac.com","+385 53 663 500","https://www.boskinac.com","https://www.omh.hr/hotel/hotel-boskinac/"
"Hotel Borovnik","Trg dr. Šime Vlašića 3, Tisno","Tisno","obitelj@hotel-borovnik.com","+385 22 439 700","https://www.hotel-borovnik.com","https://www.omh.hr/hotel/hotel-borovnik/"
"Hotel Bitoraj","Sveti Križ 1, Fužine","Fužine","info@bitoraj.hr","+385 51 830 005","https://www.bitoraj.hr","https://www.omh.hr/hotel/hotel-bitoraj/"
"Hotel Bevanda","Zert 8 , Opatija","Opatija","reservations@bevanda.hr","+385 51 493 888","https://www.bevanda.hr","https://www.omh.hr/hotel/hotel-bevanda/"
"Hotel Berkeley","Andrije Hebranga 116A, Dubrovnik","Dubrovnik","reservations@berkeleyhotel.hr","+385 20 494 160","https://www.berkeleyhotel.hr","https://www.omh.hr/hotel/hotel-berkeley/"
"Hotel Belveder","Veli brig 20, Pag","Pag","igor.palcic@zd.t-com.hr","+38523612564","https://www.belveder-pag.com.hr","https://www.omh.hr/hotel/hotel-belveder/"
"Hotel Bastion","Bedemi zadarskih pobuna 13, Zadar","Zadar","info@hotel-bastion.hr","+385 23 494 950","https://www.hotel-bastion.hr","https://www.omh.hr/hotel/hotel-bastion/"
"Hotel Baletna Škola","Biskupa Frane Franića 1, Kaštel Kambelovac","Kaštel Kambelovac","info@hotel-baletnaskola.com","+385 21 221 912","https://www.hotel-baletnaskola.com","https://www.omh.hr/hotel/hotel-baletna-skola/"
"Hotel AS","Zelengaj 2a, Zagreb","Zagreb","as@hotel-as.hr","+385 1 4609 111","https://www.hotel-as.hr","https://www.omh.hr/hotel/hotel-as/"
"Hotel Art","Nikole Zrinskog 44, Slavonski Brod","Slavonski Brod","info@art-hotel.hr","+385 35 638 950","https://www.art-hotel.hr","https://www.omh.hr/hotel/hotel-art/"
"Hotel Arbiana","Obala kralja Petra Krešimira IV 12, Rab","Rab","sales@arbianahotel.com","+385 51 725 563","https://www.arbianahotel.com","https://www.omh.hr/hotel/hotel-arbiana/"
