"agency_name","address","city","email","phone_number","website"
"Smartwork Leasing A. Federow e.K. Zeitarbeit","Schwartauer Allee 92, (St. Lorenz Nord)","Lübeck","smartwork@online.de","0800 8 89 88 00","http://www.smartwork-leasing.de"
"Fiperly Personalvermittlung Bertelsen","Gülitzer Str. 25, (Wüsten Vahrnow)","Perleberg","info@fiperly.de","0171 8 62 81 70","http://www.fiperly.de"
"jobtensor","Katernberger Str. 107, (Katernberg)","Essen","support@jobtensor.com","0201 99 95 05 60","https://jobtensor.com/"
"Perfect Search","Otto-Hue-Str. 12a, (Mitte)","Herne","anfrage@perfect-search.de","0172 2 68 90 94","https://www.perfect-search.de/"
"ROG - Recruiting ohne Grenzen","Havelufer 14, (Lehnitz)","Oranienburg","dave.howaldt@rog-recruiting.de","030 4 23 99 27","https://www.rog-recruiting.de/"
"Shining Staff","Hans-Böckler-Platz 3, (Mitte)","Mülheim an der Ruhr","consulting@shiningstaff.com","0172 3 23 01 28","https://www.shiningstaff.com/"
"staff-germany.com","Alfredstr. 191, (Rüttenscheid)","Essen, Ruhr","hello@staff-germany.com","0201 85 78 39 90","http://www.staff-germany.com"
"Akzent Personaldienstleistung Mitte GmbH","Lange Laube 14","Hannover","","0511 65 53 34 22","https://www.akzent-personal.de/jobs-in-hannover"
"Alexander Graham International GmbH","Königsallee 14, (Stadtmitte)","Düsseldorf","info@alexandergraham.de","0211 87 97 99 90",""
"Randstad Bad Kreuznach","Mannheimer Str. 139","Bad Kreuznach","nl-128@randstad.de","0671 83 41 10","https://www.randstad.de/standorte/randstad-bad-kreuznach_3596/"
"AP Management LORENZ - Arbeits- und Personalvermittlung","Hornstraße 15","Freiberg","kontakt@ap-management.info","03731 6 92 96 03","https://ap-management.info/"
"Cleankraft Gebäudereinigung - Büroreinigung, Fensterreinigung & Treppenhausreinigung in Essen","Nockwinkel 93","Essen","info@cleankraft.de","0201 25 90 17 85","https://cleankraft.de"
"JUKE Talents","Bredenbeck 28","Senden","info@juke-talents.de","02509 2 09 90 10","https://juke-talents.de"
"Orizon - Personalvermittlung & Zeitarbeit Offenburg","Marlener Straße 2","Offenburg","oberrhein@orizon.de","0781 60 58 80","https://www.orizon.de/de/standortsuche/offenburg?utm_source=yext-profile&utm_medium=organic&utm_campaign=standortsuche&utm_term=orizon+gmbh&utm_content=OZNST053"
"ProServ Produktionsservice und Personaldienste GmbH","Edouard-Michelin-Platz 1","Homburg","","06841 77 27 65",""
"Randstad Burgwedel","Am Berkhopsfeld 4","Burgwedel","ris-rossmann@randstad.de","05139 97 79 90","https://www.randstad.de/standorte/randstad-burgwedel_3729/"
"Randstad Pforzheim - Wilferdinger Höhe","Rastatter Straße 15","Pforzheim","ris-admedes@randstad.de","07231 92 23 13 05","https://www.randstad.de/standorte/randstad-pforzheim-rastatter-strasse_3809/"
"Akzent Personaldienstleistungen GmbH","Markt 2","Jena","jena@akzent-personal.de","03641 3 47 02 20","https://www.akzent-personal.de/jobs-in-jena"
"BCH GmbH Personalvermittlung","Farmstr. 118, (Walldorf)","Mörfelden-Walldorf","info@bch.gmbh","06241 3 85 47 85",""
"Dornseifer Personalmanagement GmbH","Lindenthaler Straße 55","Leipzig","leipzig@dornseifer-personal.de","0341 4 62 68 00","http://www.dornseifer-personal.de/"
"FERCHAU GmbH","Flughafenstraße 4","Erfurt","erfurt@ferchau.com","0361 6 01 34 80","https://www.ferchau.com/de/de/ueber-uns/niederlassungen/erfurt"
"FINEOO (ehem. personal IDEAL)","Chemnitzer Straße 115","Dresden","kontakt@fineoo.de","0351 26 44 16 00","https://fineoo.de"
"Hays","Willy-Brandt-Platz 1-3","Mannheim","mannheim@hays.de","0621 1 78 80","https://www.hays.de/personalvermittlung/personaldienstleister/standorte/mannheim"
"Leinemonteure GmbH","Schulenburger Landstraße 128","Hannover","","0511 9 11 61 10","https://www.leinemonteure.de"
"Michael Jahnke Jürgen Kling Harry Meyer agentur wanted","Gneisenaustr. 66, (Kreuzberg)","Berlin","","030 6 95 79 80","http://www.agentur-wanted.de"
"Nerz GmbH","Kronenstraße 51","Troisdorf","info@nerz.jobs","02241 9 73 99 70","http://www.nerz-personal.de"
"Orizon Personalvermittlung Villingen-Schwenningen","St.-Nepomuk-Straße 1","Villingen-Schwenningen","bodensee-baar@orizon.de","07721 9 92 48 10","https://www.orizon.de/de/standortsuche/villingen-schwenningen?utm_source=yext-profile&utm_medium=organic&utm_campaign=standortsuche&utm_term=orizon+gmbh&utm_content=OZNST008"
"Orizon - Zeitarbeit & Personalvermittlung Kempten","Bodmanstraße 1","Kempten (Allgäu)","allgaeu@orizon.de","0831 52 23 10","https://www.orizon.de/de/standortsuche/kempten?utm_source=yext-profile&utm_medium=organic&utm_campaign=standortsuche&utm_term=orizon+gmbh&utm_content=OZNST088"
"P.H. Personal Gesellschaft für Zeitarbeit mbH","Martin-Andersen-Nexö-Strasse 34","Erfurt","service@hoffmann-personal.de","0361 34 96 50","http://www.hoffmann-personal.de"
"Paskal Job GmbH","Dalbergstr. 29, (Innenstadt)","Fulda","paskaljob@yahoo.com","0152 15 24 77 93","http://sites.google.com/view/paskaljob/home-page"
"PF Dienstleistungen","Zehntwerderweg 170","Berlin","info@pfdienstleistungen.de","030 89 63 98 24","http://pfdienstleistungen.de"
"pluss Osnabrück - Care People (Medizin/Pflege) & Bildung und Soziales","Kollegienwall 1a","Osnabrück","osnabrueck@care-people.com","0541 34 96 97 90","https://www.pluss.de/kontakt?division=all&city=Osnabrück&page=0"
"plusswerk Wilhelmshaven - Handwerk, Industrie & Office","Ebertstraße 84","Wilhelmshaven","wilhelmshaven@plusswerk.de","04421 7 58 27 70","https://www.plusswerk.de/kontakt?city=Wilhelmshaven&page=0&division=all&utm_source=advantago&utm_medium=googlemybusiness&utm_campaign=wilhelmshaven_hwk_ind_off"
"Randstad Arnsberg","Hauptstrasse 22-24","Arnsberg","nl-370@randstad.de","02932 89 03 70","https://www.randstad.de/standorte/randstad-arnsberg_3677/"
"Randstad Automotive Landshut","Ritter-Von-Schoch-Straße 21b","Landshut","landshut915@randstad-automotive.de","0871 43 01 70","https://www.randstad.de/standorte/randstad-automotive-landshut_3866/"
"Randstad Cityhaus Leipzig","Nikolaistraße 3","Leipzig","leipzig1@randstad.de","0341 99 72 70","https://www.randstad.de/standorte/randstad-cityhaus-leipzig_3529/"
"Randstad Coburg","Ketschengasse 30","Coburg","coburg@randstad.de","09561 8 00 40","https://www.randstad.de/standorte/randstad-coburg_3643/"
